DATE,CABPPRIVSA
2003-06-01,14002.2411416182
2003-07-01,15878.800715442
2003-08-01,14117.023933836299
2003-09-01,15412.0962993445
2003-10-01,20612.7829897407
2003-11-01,15093.258036413601
2003-12-01,15660.478683765301
2004-01-01,16146.9036438661
2004-02-01,16040.9374068884
2004-03-01,17130.6464030715
2004-04-01,16998.339537503998
2004-05-01,16089.090854266698
2004-06-01,17192.3500486734
2004-07-01,16792.6462056366
2004-08-01,17604.0165303151
2004-09-01,17854.6694643948
2004-10-01,17531.326663144
2004-11-01,19938.5324939041
2004-12-01,19166.5558618265
2005-01-01,16518.500922902298
2005-02-01,15835.06157871
2005-03-01,16123.328798126102
2005-04-01,16795.4439649228
2005-05-01,15606.7689038745
2005-06-01,17005.7677534325
2005-07-01,17147.3599080621
2005-08-01,16923.251250857702
2005-09-01,20692.3110984224
2005-10-01,15046.8087511651
2005-11-01,16052.3806779327
2005-12-01,13589.7035287121
2006-01-01,14210.7463638398
2006-02-01,18177.0498308498
2006-03-01,13719.523758026799
2006-04-01,13498.239376046202
2006-05-01,13847.212313891101
2006-06-01,13789.332081123
2006-07-01,10680.0463267504
2006-08-01,11582.8288195469
2006-09-01,12259.1354463123
2006-10-01,10546.7432126395
2006-11-01,10848.2497564834
2006-12-01,10647.7730597788
2007-01-01,11884.2537413946
2007-02-01,9565.948507059491
2007-03-01,11466.6529677828
2007-04-01,9462.60274161755
2007-05-01,9474.43328438511
2007-06-01,7553.0947387858705
2007-07-01,8577.77135278788
2007-08-01,10476.7477961324
2007-09-01,6988.64047799844
2007-10-01,7998.80933434235
2007-11-01,6396.324284067629
2007-12-01,6223.49731634558
2008-01-01,6351.70170453213
2008-02-01,6874.93208590436
2008-03-01,4022.0134636146795
2008-04-01,5894.36125685683
2008-05-01,6299.95845469447
2008-06-01,5422.117911469651
2008-07-01,4810.59113655757
2008-08-01,3638.46814953495
2008-09-01,4651.467844611189
2008-10-01,4067.45895707815
2008-11-01,4952.23258515535
2008-12-01,3701.85637313883
2009-01-01,2610.8711249508897
2009-02-01,2598.8422139701397
2009-03-01,2634.48551134008
2009-04-01,2864.3330679775395
2009-05-01,2438.73516462096
2009-06-01,2719.0416298366
2009-07-01,2846.13152648289
2009-08-01,2725.0512282793397
2009-09-01,2925.2223734682107
2009-10-01,3059.63150978449
2009-11-01,2862.2038839636703
2009-12-01,2924.0293700360303
2010-01-01,4049.1625569102202
2010-02-01,3814.9823102297996
2010-03-01,3259.50542277428
2010-04-01,3192.8008093288695
2010-05-01,2741.2350535327
2010-06-01,3551.6624188041706
2010-07-01,3443.23507582802
2010-08-01,3597.7646813802003
2010-09-01,3130.36783515088
2010-10-01,3378.1391900595195
2010-11-01,3398.86532613995
2010-12-01,5575.13439910766
2011-01-01,3419.2067361631703
2011-02-01,2474.2895075425304
2011-03-01,4064.2391619657396
2011-04-01,3641.2124463131104
2011-05-01,4173.56289434359
2011-06-01,4108.94314890272
2011-07-01,2299.2623145816196
2011-08-01,4176.538940937739
2011-09-01,3802.19083545711
2011-10-01,3485.5971286009303
2011-11-01,4909.149887057771
2011-12-01,4429.950770365371
2012-01-01,2895.70116904472
2012-02-01,3648.0861371465003
2012-03-01,5783.79538716573
2012-04-01,3178.56324982735
2012-05-01,5110.34331684589
2012-06-01,4976.7771624712705
2012-07-01,4986.13210401577
2012-08-01,5164.37829674258
2012-09-01,6023.980752588629
2012-10-01,5282.33281168792
2012-11-01,4439.18847260375
2012-12-01,5340.474817914579
2013-01-01,6694.82820213483
2013-02-01,7020.14960839495
2013-03-01,4602.9621794159
2013-04-01,7152.5250865823
2013-05-01,6743.869869519361
2013-06-01,5354.16763917888
2013-07-01,7048.59580890312
2013-08-01,6887.04585429277
2013-09-01,4336.5999919041
2013-10-01,6933.9099809562795
2013-11-01,6986.281814690799
2013-12-01,7881.08978412979
2014-01-01,5455.82154808496
2014-02-01,6603.09291922904
2014-03-01,6649.99782421016
2014-04-01,7960.219568177479
2014-05-01,5805.00361173658
2014-06-01,6163.45541296158
2014-07-01,6996.69593641131
2014-08-01,5988.60505934537
2014-09-01,6839.0825557289
2014-10-01,9591.1792329303
2014-11-01,7878.24698357807
2014-12-01,6670.7829778246605
2015-01-01,9088.936269126129
2015-02-01,7997.69296253173
2015-03-01,8862.220007847929
2015-04-01,7803.13570360088
2015-05-01,7130.42137487218
2015-06-01,9593.00063564617
2015-07-01,8527.528858035279
2015-08-01,7328.663488579709
2015-09-01,8690.13840954273
2015-10-01,6247.5305385064
2015-11-01,9123.53233626795
2015-12-01,7297.86823355386
2016-01-01,8238.87596487501
2016-02-01,10094.4854515291
2016-03-01,7264.17457550523
2016-04-01,7414.2792355272495
2016-05-01,9453.337125446491
2016-06-01,7367.03467392083
2016-07-01,6255.61602195426
2016-08-01,9690.56128170147
2016-09-01,9037.74273332147
2016-10-01,8458.68647753713
2016-11-01,8414.2166227259
2016-12-01,9201.36524399064
2017-01-01,6158.64310530551
2017-02-01,7655.829694958109
2017-03-01,9648.106565487751
2017-04-01,9305.66961448248
2017-05-01,8711.95343230294
2017-06-01,11694.78738489
2017-07-01,8351.611675229871
2017-08-01,10035.9991385861
2017-09-01,9460.7876947013
2017-10-01,10479.4737864665
2017-11-01,9176.45310194486
2017-12-01,9726.28983583345
2018-01-01,9635.49470731139
2018-02-01,10121.9258066347
2018-03-01,11001.758233608301
2018-04-01,9955.58478486852
2018-05-01,10985.171137413101
2018-06-01,10903.1115512425
2018-07-01,9932.800774643922
2018-08-01,9088.60111605474
2018-09-01,7795.7462725073
2018-10-01,8714.882685515071
2018-11-01,8834.87309179016
2018-12-01,8896.05458522914
2019-01-01,10241.437859537
2019-02-01,7928.18921780853
2019-03-01,7983.280358082359
2019-04-01,8886.09668506028
2019-05-01,9062.01519552022
2019-06-01,7818.79142734252
2019-07-01,10218.480963728101
2019-08-01,9117.578946314008
2019-09-01,10423.7330892674
2019-10-01,9976.609604613579
2019-11-01,8800.88547611126
2019-12-01,9466.443799465258
2020-01-01,9418.5011476491
2020-02-01,11054.167903171001
2020-03-01,7566.0503113081795
2020-04-01,5857.88732752339
2020-05-01,6307.135181492989
2020-06-01,7865.12023217842
2020-07-01,10436.6079046276
2020-08-01,8493.928940715841
2020-09-01,9895.04904289688
2020-10-01,8407.094353451559
2020-11-01,9621.70483612547
2020-12-01,10413.9873392272
2021-01-01,10613.7880545327
2021-02-01,9640.97330838078
2021-03-01,11098.5666079454
2021-04-01,10327.2925034876
2021-05-01,9448.773099669941
2021-06-01,9802.026578914642
2021-07-01,9723.386092639279
2021-08-01,10210.1701154048
2021-09-01,9048.180895210658
2021-10-01,10698.0522336027
2021-11-01,9954.241066936109
2021-12-01,9138.49798265078
2022-01-01,9111.4891455801
2022-02-01,10923.3874085565
2022-03-01,10259.6701713859
2022-04-01,10334.2760370795
